customer_id,registration_channel,registration_date,membership_level,region
C00000,Online,2025-08-20,Bronze,South
C00001,Offline,2024-11-09,Gold,North
C00002,Offline,2025-08-25,Silver,West
C00003,Online,2025-06-08,Silver,Central
C00004,Online,2025-04-10,Bronze,West
C00005,Online,2025-03-14,Bronze,East
C00006,WeChat Mini Program,2025-08-23,Silver,East
C00007,Online,2025-04-01,Bronze,South
C00008,Offline,2025-03-18,Bronze,South
C00009,Offline,2025-06-10,Silver,South
C00010,Online,2025-02-23,Silver,East
C00011,Online,2025-08-24,Silver,South
C00012,Online,2025-02-04,Bronze,North
C00013,Offline,2024-12-25,Silver,North
C00014,Offline,2025-07-29,Bronze,Central
C00015,Online,2025-02-22,Bronze,North
C00016,Online,2024-12-29,Bronze,Central
C00017,WeChat Mini Program,2025-03-21,Bronze,North
C00018,Online,2025-04-07,Bronze,West
C00019,Online,2025-02-02,Gold,South
C00020,WeChat Mini Program,2025-06-02,Bronze,East
C00021,Online,2025-03-12,Bronze,West
C00022,WeChat Mini Program,2025-05-02,Bronze,North
C00023,WeChat Mini Program,2025-05-03,Bronze,North
C00024,Online,2025-08-16,Silver,South
C00025,Offline,2024-12-23,Bronze,West
C00026,Online,2025-04-30,Silver,West
C00027,WeChat Mini Program,2025-05-12,Bronze,North
C00028,Online,2025-06-07,Bronze,East
C00029,Offline,2024-12-06,Bronze,North
C00030,Online,2025-08-17,Gold,East
C00031,Offline,2025-07-19,Silver,South
C00032,Offline,2025-02-25,Bronze,East
C00033,WeChat Mini Program,2025-03-16,Bronze,Central
C00034,WeChat Mini Program,2025-03-15,Bronze,South
C00035,WeChat Mini Program,2025-04-15,Bronze,West
C00036,Offline,2024-11-12,Bronze,East
C00037,WeChat Mini Program,2025-07-17,Bronze,North
C00038,WeChat Mini Program,2025-06-21,Bronze,North
C00039,WeChat Mini Program,2025-07-26,Bronze,East
C00040,Online,2025-05-05,Bronze,South
C00041,WeChat Mini Program,2025-07-25,Silver,Central
C00042,WeChat Mini Program,2025-02-24,Bronze,West
C00043,Online,2025-05-11,Silver,North
C00044,WeChat Mini Program,2025-05-20,Bronze,South
C00045,WeChat Mini Program,2025-05-18,Silver,West
C00046,Online,2025-08-24,Bronze,North
C00047,Offline,2024-12-27,Bronze,West
C00048,Offline,2025-08-11,Bronze,East
C00049,Offline,2025-06-07,Silver,North
C00050,Offline,2025-02-27,Silver,North
C00051,Offline,2025-06-29,Bronze,North
C00052,Offline,2025-08-09,Gold,West
C00053,Offline,2024-12-03,Bronze,Central
C00054,WeChat Mini Program,2025-03-30,Silver,South
C00055,Online,2024-12-08,Silver,North
C00056,Offline,2025-01-19,Bronze,South
C00057,Offline,2024-12-01,Gold,East
C00058,Offline,2025-07-30,Silver,Central
C00059,WeChat Mini Program,2025-04-26,Gold,Central
C00060,Offline,2025-03-06,Bronze,South
C00061,Offline,2025-05-16,Bronze,West
C00062,WeChat Mini Program,2025-08-13,Bronze,East
C00063,WeChat Mini Program,2025-04-17,Silver,East
C00064,Offline,2025-02-10,Bronze,Central
C00065,Online,2025-07-12,Bronze,West
C00066,WeChat Mini Program,2025-06-19,Gold,North
C00067,Offline,2025-05-24,Silver,Central
C00068,Online,2025-05-24,Bronze,North
C00069,Online,2025-01-04,Silver,South
C00070,Online,2024-12-13,Bronze,South
C00071,Online,2025-02-20,Silver,South
