order_id,customer_id,product_id,channel,order_date,quantity,selling_price,cost_price,coupon_discount,revenue,profit
ORD10000,C00600,P00065,Online,2025-01-16,2,67.78,46.92,1.63,133.93,40.09
ORD10001,C00737,P00175,Online,2025-01-03,2,97.88,53.06,0.0,195.76,89.64
ORD10002,C00635,P00163,Online,2025-04-12,1,621.37,382.38,0.0,621.37,238.99
ORD10003,C00284,P00014,WeChat Mini Program,2025-04-09,1,901.13,470.35,7.26,893.87,423.52
ORD10004,C00621,P00077,WeChat Mini Program,2025-06-08,2,756.24,482.97,0.0,1512.48,546.54
ORD10005,C00313,P00075,Online,2024-12-10,1,604.33,431.6,10.51,593.82,162.22
ORD10006,C00847,P00188,WeChat Mini Program,2025-06-09,1,409.06,210.17,0.0,409.06,198.89
ORD10007,C00147,P00017,Offline,2025-04-04,1,362.21,275.92,4.36,357.85,81.93
ORD10008,C00451,P00148,Offline,2025-06-23,3,97.23,54.59,13.69,278.0,114.23
ORD10009,C00336,P00086,Offline,2025-05-22,2,81.35,56.14,1.89,160.81,48.53
ORD10010,C00680,P00053,WeChat Mini Program,2025-02-10,1,441.17,294.54,8.04,433.13,138.59
ORD10011,C00615,P00122,Online,2024-12-17,1,583.06,481.98,6.45,576.61,94.63
ORD10012,C00475,P00082,Online,2025-05-13,3,125.77,94.91,0.0,377.31,92.58
ORD10013,C00908,P00034,WeChat Mini Program,2025-08-16,2,295.56,214.53,0.0,591.12,162.06
ORD10014,C00606,P00021,Offline,2025-09-25,3,462.0,315.42,1.9,1384.1,437.84
ORD10015,C00723,P00171,Online,2025-01-18,3,430.73,286.58,0.0,1292.19,432.45
ORD10016,C00343,P00156,Online,2024-11-20,3,420.55,304.95,0.0,1261.65,346.8
ORD10017,C00962,P00192,Online,2025-02-23,1,617.45,320.54,0.0,617.45,296.91
ORD10018,C00924,P00083,Offline,2024-12-03,3,474.89,333.5,0.0,1424.67,424.17
ORD10019,C00187,P00162,Offline,2025-11-03,1,86.26,51.41,16.08,70.18,18.77
ORD10020,C00242,P00018,Offline,2025-04-26,3,27.17,17.66,0.51,81.0,28.02
ORD10021,C00085,P00051,Online,2025-11-04,2,322.51,181.11,4.52,640.5,278.28
ORD10022,C00199,P00041,Offline,2025-02-27,2,74.22,49.62,5.56,142.88,43.64
ORD10023,C00136,P00019,Offline,2025-07-02,3,190.05,107.43,0.0,570.15,247.86
ORD10024,C00206,P00182,Online,2025-04-07,2,442.44,309.2,0.0,884.88,266.48
ORD10025,C00805,P00097,Online,2025-06-22,1,311.96,166.3,0.0,311.96,145.66
